episode_idx,episode,reach_chunk,lift_chunk,reach_path,lift_path,reach_eef_z,lift_eef_z,delta_eef_z_lift_minus_reach,task,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,eef_mode,eef_mode_threshold,action_values.0,action_values.1,action_values.2,action_values.3,action_values.4,action_values.5,action_values.0_repeat_std,action_values.1_repeat_std,action_values.2_repeat_std,action_values.3_repeat_std,action_values.4_repeat_std,action_values.5_repeat_std
0,episode_000000,1,2,debug_runs/20260605_155251_Stable_2/episode_000000/debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260605_155251_Stable_2/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,0.02914144669717761,0.010312088699003671,-0.018829357998173937,Put the red cube in the box.,-13.682567596435547,20.434009552001953,-48.04902648925781,-97.44305419921875,-12.934982299804688,47.274688720703125,-12.504142761230469,41.37812805175781,-29.88485336303711,-75.26812744140625,-10.610462188720703,3.1924819946289062,low_eef_mode,0.010539298576470749,-13.670467376708984,16.02971649169922,-51.600650787353516,-86.94046020507812,-12.466001510620117,33.107913970947266,0.0,0.0,0.0,0.0,0.0,0.0
1,episode_000001,1,2,debug_runs/20260605_155251_Stable_2/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260605_155251_Stable_2/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,0.030337185682712868,0.0074492699617313834,-0.022887915720981485,Put the red cube in the box.,-13.415283203125,20.803455352783203,-47.524871826171875,-96.55062103271484,-12.381551742553711,46.523948669433594,-12.4292573928833,35.505523681640625,-28.39434242248535,-72.40911102294922,-10.479987144470215,3.1975631713867188,low_eef_mode,0.010539298576470749,-13.796156883239746,17.313236236572266,-51.62823486328125,-86.79327392578125,-11.96109390258789,28.35209083557129,0.0,0.0,0.0,0.0,0.0,0.0
2,episode_000002,1,2,debug_runs/20260605_155251_Stable_2/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260605_155251_Stable_2/episode_000002/debug_chunk_rawid_2_002_observation_frame.pt,0.030274922835051392,0.025043440781218868,-0.005231482053832524,Put the red cube in the box.,-13.345499038696289,19.26791000366211,-46.97010803222656,-96.20711517333984,-12.552124977111816,46.62236022949219,-11.279736518859863,40.27726745605469,-40.040313720703125,-82.9253921508789,-9.73025894165039,3.502412796020508,high_eef_mode,0.010539298576470749,-13.494370460510254,15.65460205078125,-53.63291549682617,-86.909423828125,-12.372672080993652,29.06726837158203,0.0,0.0,0.0,0.0,0.0,0.0
3,episode_000003,1,2,debug_runs/20260605_155251_Stable_2/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260605_155251_Stable_2/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,0.030778939417915062,0.007851506593386917,-0.022927432824528145,Put the red cube in the box.,-13.440007209777832,20.903350830078125,-48.07261657714844,-96.7678451538086,-13.215506553649902,46.93947219848633,-11.988893508911133,38.561859130859375,-31.10701560974121,-73.33065795898438,-10.39954662322998,3.134523391723633,low_eef_mode,0.010539298576470749,-13.59436321258545,17.392436981201172,-52.746883392333984,-86.83258056640625,-12.82557201385498,26.473983764648438,0.0,0.0,0.0,0.0,0.0,0.0
4,episode_000004,1,2,debug_runs/20260605_155251_Stable_2/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260605_155251_Stable_2/episode_000004/debug_chunk_rawid_2_002_observation_frame.pt,0.030127726349414477,0.010594723510947798,-0.01953300283846668,Put the red cube in the box.,-12.797258377075195,20.247276306152344,-48.70265197753906,-97.1631088256836,-12.266557693481445,47.372596740722656,-11.93989086151123,39.62195587158203,-30.858360290527344,-73.36357879638672,-10.169201850891113,3.2465286254882812,high_eef_mode,0.010539298576470749,-12.938922882080078,16.16614532470703,-52.416378021240234,-86.85498046875,-12.124013900756836,39.9184684753418,0.0,0.0,0.0,0.0,0.0,0.0
5,episode_000005,1,2,debug_runs/20260605_155251_Stable_2/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260605_155251_Stable_2/episode_000005/debug_chunk_rawid_2_002_observation_frame.pt,0.028273350552192038,0.016131264479910493,-0.012142086072281545,Put the red cube in the box.,-13.635284423828125,20.615528106689453,-47.774391174316406,-96.93917846679688,-13.203496932983398,47.27168273925781,-12.233253479003906,40.437469482421875,-33.42151641845703,-81.11336517333984,-10.743070602416992,3.5544471740722656,high_eef_mode,0.010539298576470749,-13.721931457519531,16.48883056640625,-50.859317779541016,-86.88441467285156,-12.698162078857422,36.81358337402344,0.0,0.0,0.0,0.0,0.0,0.0
6,episode_000006,1,2,debug_runs/20260605_155251_Stable_2/episode_000006/debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260605_155251_Stable_2/episode_000006/debug_chunk_rawid_2_002_observation_frame.pt,0.030144863039224777,0.009851726741216982,-0.020293136298007795,Put the red cube in the box.,-13.973215103149414,20.008670806884766,-48.986297607421875,-97.18269348144531,-13.329307556152344,46.54183578491211,-12.974828720092773,37.798370361328125,-30.427566528320312,-74.37194061279297,-11.342082023620605,3.340087890625,low_eef_mode,0.010539298576470749,-14.125367164611816,16.88312530517578,-52.537376403808594,-86.77949523925781,-12.846076965332031,27.683189392089844,0.0,0.0,0.0,0.0,0.0,0.0
7,episode_000007,1,2,debug_runs/20260605_155251_Stable_2/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260605_155251_Stable_2/episode_000007/debug_chunk_rawid_2_002_observation_frame.pt,0.02972042458647159,0.010483873641993699,-0.01923655094447789,Put the red cube in the box.,-13.544087409973145,19.748577117919922,-48.61869812011719,-96.83615112304688,-12.811986923217773,46.97290802001953,-12.603413581848145,38.96504211425781,-30.238182067871094,-73.25833129882812,-10.972201347351074,3.0844058990478516,low_eef_mode,0.010539298576470749,-13.74397087097168,16.464447021484375,-52.0648307800293,-87.0224609375,-12.37222671508789,34.74993896484375,0.0,0.0,0.0,0.0,0.0,0.0
8,episode_000008,1,2,debug_runs/20260605_155251_Stable_2/episode_000008/debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260605_155251_Stable_2/episode_000008/debug_chunk_rawid_2_002_observation_frame.pt,0.029067380655834814,0.05001334446638712,0.020945963810552304,Put the red cube in the box.,-13.068612098693848,20.208175659179688,-43.701438903808594,-93.1263427734375,-12.619836807250977,47.035179138183594,-10.907358169555664,44.61204147338867,-46.79119110107422,-83.14022827148438,-8.691558837890625,3.481403350830078,high_eef_mode,0.010539298576470749,-13.434720039367676,15.22152328491211,-52.47947692871094,-87.00028228759766,-12.600059509277344,32.84160232543945,0.0,0.0,0.0,0.0,0.0,0.0
9,episode_000009,1,2,debug_runs/20260605_155251_Stable_2/episode_000009/debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260605_155251_Stable_2/episode_000009/debug_chunk_rawid_2_002_observation_frame.pt,0.02922830685624938,0.029202246891971914,-2.605996427746532e-05,Put the red cube in the box.,-13.475138664245605,19.788421630859375,-47.047576904296875,-96.38937377929688,-12.637227058410645,46.81679153442383,-11.253363609313965,38.46935272216797,-41.12688446044922,-82.83026123046875,-9.54223346710205,3.4931297302246094,high_eef_mode,0.010539298576470749,-13.637321472167969,15.264396667480469,-53.13984298706055,-87.08904266357422,-12.417131423950195,32.54601287841797,0.0,0.0,0.0,0.0,0.0,0.0
