episode_idx,episode,reach_chunk,lift_chunk,reach_path,lift_path,reach_eef_z,lift_eef_z,delta_eef_z_lift_minus_reach,task,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,eef_mode,eef_mode_threshold,action_values.0,action_values.1,action_values.2,action_values.3,action_values.4,action_values.5,action_values.0_repeat_std,action_values.1_repeat_std,action_values.2_repeat_std,action_values.3_repeat_std,action_values.4_repeat_std,action_values.5_repeat_std
0,episode_000000,1,2,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,0.009716758176325016,0.09097638895443269,0.08125963077810767,Put the red cube in the box.,-7.85038948059082,36.359317779541016,-14.274883270263672,-71.2304458618164,-6.393350601196289,47.29380798339844,-1.620039701461792,50.33451843261719,-53.685333251953125,-96.3524169921875,-2.908430576324463,3.7772865295410156,low_eef_mode,0.10354712781390686,-7.627414703369141,32.75843811035156,-24.146839141845703,-86.83006286621094,-5.518620491027832,42.53916931152344,0.0,0.0,0.0,0.0,0.0,0.0
1,episode_000001,1,2,debug_runs/20260529_112158_high/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260529_112158_high/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,0.007195553532914387,0.10474202537730397,0.09754647184438958,Put the red cube in the box.,-8.439935684204102,35.38859939575195,-14.150928497314453,-70.92237854003906,-6.204862594604492,44.06258010864258,-4.597806930541992,59.94553756713867,-54.14579772949219,-81.98532104492188,-3.474419116973877,4.133441925048828,high_eef_mode,0.10354712781390686,-8.163358688354492,31.87685775756836,-22.726837158203125,-86.64574432373047,-5.220163345336914,32.337440490722656,0.0,0.0,0.0,0.0,0.0,0.0
2,episode_000002,1,2,debug_runs/20260529_112158_high/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260529_112158_high/episode_000002/debug_chunk_rawid_2_002_observation_frame.pt,0.006139939929006494,0.10457579273633269,0.0984358528073262,Put the red cube in the box.,-9.389131546020508,35.00215148925781,-14.083147048950195,-70.6971206665039,-7.246964454650879,46.490196228027344,-4.060660362243652,57.698883056640625,-56.29758834838867,-82.39505004882812,-3.404543876647949,4.009096145629883,high_eef_mode,0.10354712781390686,-9.082581520080566,32.153594970703125,-22.222461700439453,-86.67713928222656,-6.295513153076172,36.226036071777344,0.0,0.0,0.0,0.0,0.0,0.0
3,episode_000003,1,2,debug_runs/20260529_112158_high/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260529_112158_high/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,0.005950528071575936,0.07158760308163686,0.06563707501006093,Put the red cube in the box.,-9.157724380493164,35.650333404541016,-14.159204483032227,-71.49413299560547,-7.58445930480957,42.59762191772461,1.5166938304901123,44.825599670410156,-49.368743896484375,-97.60741424560547,0.2639122009277344,3.814424514770508,low_eef_mode,0.10354712781390686,-9.038626670837402,33.30904769897461,-21.092041015625,-86.74114227294922,-6.254856109619141,37.18233871459961,0.0,0.0,0.0,0.0,0.0,0.0
4,episode_000004,1,2,debug_runs/20260529_112158_high/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260529_112158_high/episode_000004/debug_chunk_rawid_2_002_observation_frame.pt,0.008330541831449587,0.07887344831233473,0.07054290648088514,Put the red cube in the box.,-8.3889799118042,35.239044189453125,-15.253957748413086,-71.79366302490234,-6.798000335693359,40.342926025390625,-0.3033773899078369,45.76879119873047,-52.965824127197266,-95.9688949584961,-2.137204647064209,3.7471694946289062,low_eef_mode,0.10354712781390686,-8.252138137817383,32.05531692504883,-23.03539276123047,-86.85092163085938,-5.866748332977295,31.011667251586914,0.0,0.0,0.0,0.0,0.0,0.0
5,episode_000005,1,2,debug_runs/20260529_112158_high/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260529_112158_high/episode_000005/debug_chunk_rawid_2_002_observation_frame.pt,0.006371517327557752,0.11005045183422023,0.10367893450666248,Put the red cube in the box.,-9.269270896911621,36.34192657470703,-12.963054656982422,-70.76200866699219,-7.371269226074219,45.31230163574219,-5.233013153076172,65.64212036132812,-53.81135940551758,-78.92343139648438,-2.7099568843841553,4.467966079711914,high_eef_mode,0.10354712781390686,-9.111413955688477,33.65251922607422,-20.715274810791016,-86.7397689819336,-6.598455429077148,32.147640228271484,0.0,0.0,0.0,0.0,0.0,0.0
6,episode_000006,1,2,debug_runs/20260529_112158_high/episode_000006/debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260529_112158_high/episode_000006/debug_chunk_rawid_2_002_observation_frame.pt,0.007822462762910626,0.10936583204902864,0.10154336928611801,Put the red cube in the box.,-9.069780349731445,35.67497253417969,-13.932341575622559,-71.10912322998047,-7.175768852233887,47.516536712646484,-5.940682411193848,61.70079040527344,-55.81256866455078,-78.09211730957031,-3.189817428588867,4.52546501159668,high_eef_mode,0.10354712781390686,-8.74300765991211,32.582603454589844,-22.711585998535156,-86.67586517333984,-6.578179359436035,35.48767852783203,0.0,0.0,0.0,0.0,0.0,0.0
7,episode_000007,1,2,debug_runs/20260529_112158_high/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260529_112158_high/episode_000007/debug_chunk_rawid_2_002_observation_frame.pt,0.008607450359543425,0.10251846289148103,0.09391101253193761,Put the red cube in the box.,-9.337166786193848,35.22022247314453,-14.831205368041992,-71.96097564697266,-7.4957780838012695,46.855804443359375,-4.575400352478027,55.83555221557617,-56.093807220458984,-89.94258117675781,-3.745436191558838,4.310285568237305,low_eef_mode,0.10354712781390686,-8.975435256958008,32.19947052001953,-23.73249053955078,-86.77367401123047,-6.710515975952148,34.33835220336914,0.0,0.0,0.0,0.0,0.0,0.0
8,episode_000008,1,2,debug_runs/20260529_112158_high/episode_000008/debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260529_112158_high/episode_000008/debug_chunk_rawid_2_002_observation_frame.pt,0.0061969667794369715,0.07599556886890238,0.06979860208946541,Put the red cube in the box.,-9.091114044189453,36.47622299194336,-13.764581680297852,-71.45838928222656,-7.548348426818848,41.627960205078125,1.1093096733093262,45.51700210571289,-51.2051887512207,-96.44161224365234,-0.34495747089385986,3.900146484375,low_eef_mode,0.10354712781390686,-9.038575172424316,33.496665954589844,-21.072895050048828,-86.73587799072266,-6.611248016357422,33.44407653808594,0.0,0.0,0.0,0.0,0.0,0.0
9,episode_000009,1,2,debug_runs/20260529_112158_high/episode_000009/debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260529_112158_high/episode_000009/debug_chunk_rawid_2_002_observation_frame.pt,0.006699773602834649,0.10827715725727435,0.1015773836544397,Put the red cube in the box.,-9.204647064208984,35.74775695800781,-13.305883407592773,-70.45699310302734,-7.174910545349121,47.53935241699219,-5.715625762939453,61.930171966552734,-54.03324508666992,-81.34978485107422,-3.416036605834961,4.579034805297852,high_eef_mode,0.10354712781390686,-8.818526268005371,32.20112609863281,-22.284955978393555,-86.67060852050781,-6.530174255371094,35.692626953125,0.0,0.0,0.0,0.0,0.0,0.0
